#
#  gcf_000012905cyc 28.1 Pathways link table generated on Tue Jul 23, 2024
#
PWY-6907	thiamine diphosphate biosynthesis III (Staphylococcus)	vitamin B<sub>1</sub> biosynthesis III	thiamin diphosphate biosynthesis III (Staphylococcus)
FERMENTATION-PWY	mixed acid fermentation	fermentation
PWY-6893	thiamine diphosphate biosynthesis II (Bacillus)	vitamin B<sub>1</sub> biosynthesis II	thiamin diphosphate biosynthesis II (Bacillus)
NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and transhydrogenation	
PWY-701	L-methionine degradation II	
PWY-6898	thiamine salvage III	thiamin salvage III
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	formaldehyde oxidation II (GSH-dependent)
PWY0-1337	oleate &beta;-oxidation	
PYRIDNUCSYN-PWY	NAD <i>de novo</i> biosynthesis I (from aspartate)	nicotinamide adenine dinucleotide biosynthesis
PWY-7664	oleate biosynthesis IV (anaerobic)	<i>cis</i>-7-hexadecenoate biosynthesis	<i>cis</i>-9-octadecenoate biosynthesis	(7<i>Z</i>)-hexadec-7-enoate biosynthesis	(9<i>Z</i>)-octadec-9-enoate biosynthesis	(7<i>Z</i>)-hexadecenoate biosynthesis	(9<i>Z</i>)-octadecenoate biosynthesis
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	branched-chain &alpha;-keto acid dehydrogenase system	branched-chain &alpha;-keto acid dehydrogenase complex	branched-chain 2-oxo acid dehydrogenase complex	branched-chain 2-oxo acid dehydrogenase system
PWY-6012	acyl carrier protein metabolism	[acp] metabolism	ACP metabolism
PWY-7968	5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	
PWY-5533	acetone degradation II (to acetoacetate)	isopropanol degradation	acetone degradation II (to acetoacetic acid)
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)	
PWY-6123	inosine-5'-phosphate biosynthesis I	IMP biosynthesis I
PWY-6012-1	acyl carrier protein activation	[acp] metabolism	ACP metabolism
PWY-7229	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I	
PWY0-1567	NADH to cytochrome <i>bo</i> oxidase electron transfer II	
METSYN-PWY	superpathway of L-homoserine and L-methionine biosynthesis	
ARO-PWY	chorismate biosynthesis I	aromatic amino acid biosynthesis	shikimate pathway
PWY-7179	purine deoxyribonucleosides degradation I	
PWY-5028	L-histidine degradation II	
PWY-1722	formate assimilation into 5,10-methylenetetrahydrofolate	
PWY0-1329	succinate to cytochrome <i>bo</i> oxidase electron transfer	
VALDEG-PWY	L-valine degradation I	
PWY-7801	N-end rule pathway I (prokaryotic)	
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	
PWY1-2	L-alanine degradation IV	
DAPLYSINESYN-PWY	L-lysine biosynthesis I	L-lysine and L-diaminopimelate biosynthesis
HEMESYN2-PWY	heme <i>b</i> biosynthesis II (oxygen-independent)	
LEUSYN-PWY	L-leucine biosynthesis	
PWY-7639	bis(guanylyl molybdenum cofactor) biosynthesis	bisMGD biosynthesis	bis-MPT guanine dinucleotide cofactor biosynthesis
PWY-4081	glutathione-peroxide redox reactions	
PWY-5509	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	
DETOX1-PWY	superoxide radicals degradation	removal of superoxide radicals
PWY-6268	adenosylcobalamin salvage from cobalamin	vitamin B<sub>12</sub> biosynthesis
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	
PWY-7388	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	octanoyl-ACP biosynthesis (mitochondria, yeast)
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	
NAD-BIOSYNTHESIS-II	NAD salvage pathway III (to nicotinamide riboside)	nicotinamide adenine dinucleotide salvage
COLANSYN-PWY	colanic acid building blocks biosynthesis	
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I	vitamin B<sub>6</sub> salvage I
PWY-5844	menaquinol-9 biosynthesis	vitamin K<sub>2</sub> biosynthesis	menaquinone-9 biosynthesis
PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	
